Palet 1200 800 150 1650 975000 1 N S S 
C|610001    | 570| 400| 330|  30| 400|   0|2|13300| 100|  1|-|N|D
C|610001    | 570| 400| 330| 610| 400|   0|2|13300| 100|  2|-|N|D
C|610001    | 570| 400| 330|  50|   0|   0|2|13300|   0|  3|-|N|I
C|610001    | 570| 400| 330| 620|   0|   0|2|13300|   0|  4|-|N|I
C|580329    | 290| 390| 190|  10| 400| 330|2| 9500| 100|  5|-|N|D
C|580329    | 290| 390| 190|  10|  10| 330|2| 9500|   0|  6|-|N|I
C|580329    | 290| 390| 190| 310| 400| 330|2| 9500| 100|  7|-|N|D
C|580329    | 290| 390| 190| 310|  10| 330|2| 9500|   0|  8|-|N|I
C|580329    | 290| 390| 190| 600| 400| 330|2| 9500| 100|  9|-|N|D
C|580329    | 290| 390| 190| 610|  10| 330|2| 9500|   0| 10|-|N|I
C|580329    | 290| 390| 190| 900| 400| 330|2| 9500| 100| 11|-|N|D
C|580329    | 290| 390| 190| 910|  10| 330|2| 9500|   0| 12|-|N|I
C|610001    | 570| 400| 330|  30| 400| 520|2|13300| 100| 13|-|N|D
C|592008    | 300| 390| 200|   0|  10| 520|2| 8880|   0| 14|-|N|I
C|592008    | 300| 390| 200| 300|  10| 520|2| 8880|   0| 15|-|N|I
C|610001    | 570| 400| 330| 610| 400| 520|2|13300| 100| 16|-|N|D
C|592008    | 300| 390| 200| 600|  10| 520|2| 8880|   0| 17|-|N|I
C|592008    | 300| 390| 200| 900|  10| 520|2| 8880|   0| 18|-|N|I
C|576183    | 380| 400| 210|  30| 400| 850|2| 3650| 100| 19|-|N|D
C|598878    | 200| 400| 300|   0|   0| 720|2| 3750|   0| 20|-|N|I
C|607935    | 250| 400| 320| 440| 410| 850|2| 7300| 100| 21|-|N|D
C|598878    | 400| 200| 300| 200|   0| 720|2| 3750|   0| 22|P|N|I
C|598878    | 400| 200| 300| 200| 200| 720|2| 3750|   0| 22|P|N|I
C|607935    | 250| 400| 320| 690| 410| 850|2| 7300| 100| 23|-|N|D
C|592008    | 300| 390| 200| 600|  10| 720|2| 8880|   0| 24|-|N|I
C|607935    | 250| 400| 320| 950| 410| 850|2| 7300| 100| 25|-|N|D
C|592008    | 300| 390| 200| 900|  10| 720|2| 8880|   0| 26|-|N|I
C|1110314   | 160| 390| 170| 600|  10| 920|2| 1150|   0| 27|-|N|I
C|1110314   | 160| 390| 170| 760|  10| 920|2| 1150|   0| 28|-|N|I
C|581400    | 160| 390| 170| 920|  10| 920|2| 1336|   0| 29|-|N|I
C|581400    | 160| 390| 170| 260| 400|1060|0| 1336| 100| 30|-|N|D
C|590649    | 590| 270| 340| 440| 540|1170|2| 6150| 100| 31|-|N|D
C|1110323   | 160| 400| 170| 920|   0|1090|0| 1250|  52| 32|-|N|I
C|583404    | 320| 210| 120| 600| -10|1090|0| 2150|   0| 33|P|N|I
C|583404    | 320| 210| 120| 600| 200|1090|0| 2150|   0| 33|P|N|I
C|607938    | 290| 400| 120| 630|  10|1210|0| 6200| 100| 34|-|N|I
C|584682    | 190| 300| 200| 250| 400|1230|0| 3300| 100| 35|-|N|D
C|577326    | 250| 380| 220| 350|  20|1020|0| 5100|   0| 36|-|N|I
C|577326    | 250| 380| 220|   0| 400|1060|0| 5100| 100| 37|-|N|D
C|577326    | 250| 380| 220| 100|  20|1020|0| 5100|   0| 38|-|N|I
C|577326    | 250| 380| 220|   0| 400|1280|0| 5100| 100| 39|-|N|D
C|590649    | 590| 270| 340|  40| 130|1240|0| 6150|   0| 40|-|N|I
C|577326    | 250| 380| 220| 630|  30|1330|2| 5100| 100| 41|-|N|I
